Name,Status,ID,Priority,Epic,Labels
FND-001 — Create public GitHub repo and monorepo scaffold,Done,FND-001,P0,Foundation,"foundation,monorepo,api"
FND-002 — Scaffold NestJS API with health endpoint,Done,FND-002,P0,Foundation,"foundation,api,nest"
FND-003 — Docker Compose PostgreSQL and Adminer,Done,FND-003,P0,Foundation,"foundation,database,infra"
FND-004 — Adopt Prisma ORM and initial schema migration,Done,FND-004,P0,Foundation,"foundation,database,prisma"
"FND-005 — Seed demo users, employees, and onboarding cases",Done,FND-005,P1,Foundation,"foundation,database,demo"
FND-006 — Shared packages and default task templates,Done,FND-006,P2,Foundation,"foundation,monorepo"
"FND-007 — Phase 1 domain modules: Employees, Onboarding, Audit",Done,FND-007,P0,Foundation,"foundation,api"
FND-008 — NotificationPort stub,Done,FND-008,P2,Foundation,"foundation,api"
FND-009 — Phase 4 Playwright E2E smoke tests,Done,FND-009,P2,Foundation,"foundation,testing"
"FND-010 — Nest unit tests (state machine, guards, documents)",Done,FND-010,P2,Foundation,"foundation,testing,api"
FND-011 — Dockerfile and optional GCP Terraform (unused path),Done,FND-011,P3,Foundation,"foundation,infra,gcp"
FND-012 — Soft multi-tenant `tenant_id` column,Done,FND-012,P3,Foundation,"foundation,database"
AUTH-001 — Replace Firebase Auth with OIDC JWT - JWKS verification,Done,AUTH-001,P0,Auth,"auth,api,security"
AUTH-002 — Fix IdentityModule global DI (AuditController crash),Done,AUTH-002,P0,Auth,"auth,bugfix,api"
AUTH-003 — Keycloak local IdP in Docker Compose,Done,AUTH-003,P0,Auth,"auth,infra,keycloak"
AUTH-004 — Dev auth bypass (localhost - LAN only),Done,AUTH-004,P1,Auth,"auth,api,dev"
"AUTH-005 — Terraform Cognito user pool, client, and RBAC groups",Done,AUTH-005,P0,Auth,"auth,infra,aws,terraform"
AUTH-006 — Multi-issuer JWKS (Cognito + Keycloak),Done,AUTH-006,P0,Auth,"auth,api"
AUTH-007 — Cognito Hosted UI PKCE on Cloudflare Pages,Done,AUTH-007,P0,Auth,"auth,web,cognito"
AUTH-008 — Keycloak password-grant sign-in for localhost Vite,Done,AUTH-008,P1,Auth,"auth,web,keycloak"
AUTH-009 — Create Cognito lab users and group assignments,Done,AUTH-009,P1,Auth,"auth,aws,demo"
AUTH-010 — RolesGuard and RBAC on API routes,Done,AUTH-010,P0,Auth,"auth,api,security"
AUTH-011 — Flutter mobile OIDC (Cognito PKCE),Done,AUTH-011,P1,Auth,"auth,mobile,cognito"
AUTH-012 — Flutter role routing (employee + HR admin),Done,AUTH-012,P1,Auth,"auth,mobile,security"
AUTH-013 — Switch account - clear session cache,Done,AUTH-013,P2,Auth,"auth,mobile,web"
AUTH-014 — Cognito logout URI and sign-out redirect to landing,Done,AUTH-014,P1,Auth,"auth,web,cognito"
DOC-001 — Document register and upload (local disk driver),Done,DOC-001,P0,Documents,"documents,api"
DOC-002 — Optional GCS storage adapter (leftover),Done,DOC-002,P3,Documents,"documents,api,gcs"
DOC-003 — Amazon S3 storage adapter with Terraform,Done,DOC-003,P0,Documents,"documents,aws,terraform,s3"
"DOC-004 — Enforce upload quotas (10 MB - file, 100 MB - employee)",Done,DOC-004,P1,Documents,"documents,api"
DOC-005 — Document view (presigned download URL),Done,DOC-005,P1,Documents,"documents,api,web,mobile"
DOC-006 — Document delete with storage cleanup and audit,Done,DOC-006,P1,Documents,"documents,api,web,mobile"
"DOC-007 — S3 CORS and presigned upload fix (""Failed to fetch"")",Done,DOC-007,P1,Documents,"documents,bugfix,s3"
DOC-008 — Wire S3 env on lab API (tunnel origin),Done,DOC-008,P1,Documents,"documents,infra"
CLT-001 — Vite web-admin HR portal (Phase 0 shell → full UI),Done,CLT-001,P0,Clients,"web,clients"
CLT-002 — Vite web-onboarding employee checklist,Done,CLT-002,P0,Clients,"web,clients"
